Produto,Preço
"UnionSine SSD externo USB C de 128 GB, pen drive USB 3.2 de até 450 MB/s, mini drive USB tipo C para iPhone 15/16/17, telefone Android, laptop, tablet, TV, áudio automotivo","R$265,05"
Pendrive 32GB USB 2.0 Metálico - Compacto Portátil Armazenamento Seguro Alta Velocidade Transferência de Dados Plug Play para PC Notebook Rápida Leve Resistente Prateado Chaveiro Sem Tampa (32GB),"R$47,90"
"Pen Drive 2 em 1 – 128GB USB e Tipo-C Plug and Play Compatível com Android | Plug & Play, Para Smartphones e Tablets, Para Computadores, Transferência Ultra Rápida, Seguro e Confiável","R$108,39"
"Tecnoark Pen Drive OTG 128GB, USB Tipo C, Compatível com Notebooks e Celulares Android, Preto","R$170,00"
Pen Drive Twist 64GB USB com Leitura até 10MB/s e Gravação até 3MB/s Preto Multi - PD590,"R$64,90"
Pendrive Redragon e Hiksemi Luma 128GB USB 2.0,"R$65,77"
Pen Drive Twist 16GB USB Leitura 10MB/s e Gravação 3MB/s Preto Multi - PD588,"R$46,70"
Pen Drive Twist 8Gb Usb Leitura 10Mbs Gravação 3Mbs Preto Multi - PD587,"R$41,50"
Pendrive 64GB USB 2.0 Metálico - Compacto Portátil Armazenamento Seguro Alta Velocidade Transferência de Dados Plug Play para PC Notebook Rápida Leve Resistente Prateado Chaveiro Pen Drive Sem Tampa,"R$52,15"
Kingston Flash Drive Exodia M 128GB USB,"R$115,42"
"Pen Drive Cruzer Blade, SanDisk, 64GB, SDCZ60-064G-B35, Preto | Unidade flash USB para facilitar a transferência de fotos, vídeos, músicas e outros arquivos entre computadores","R$47,94"
"PenDrive SanDisk Cruzer Ultra Flair 32GB, Prata | Até 150 MB/s","R$89,90"
"Pen Drive Cruzer Blade, SanDisk, 32GB, SDCZ60-032G-B35","R$45,01"
Pen Drive 128gb Cruzer Blade - Sandisk | Pendrive,"R$73,00"
"Pen Drive Chaveiro Metálico USB 2.0 – 4GB, 8GB, 16GB, 32GB ou 64GB Portátil Compatível PC Notebook TV e Carro (8, GB)","R$35,90"
